level,set_no,question_no,question_type,script,question,choice_a,choice_b,choice_c,choice_d,answer,script_ja,question_ja,choice_a_ja,choice_b_ja,choice_c_ja,choice_d_ja,explanation,eiken_likeness_score,difficulty_score,naturalness_score,choice_quality_score,trap_quality_score,topic_variety_score,educational_value_score,overall_score,evaluation_comment
準2級プラス,11,1,短い会話,"A student and a staff member are talking about school festival. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,B,生徒と職員がSchool festivalについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,12,1,短い会話,"A student and a staff member are talking about weather and trip. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,D,生徒と職員がWeather and tripについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,13,1,説明文,"A student and a staff member are talking about volunteer cleanup. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,C,生徒と職員がVolunteer cleanupについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,14,1,短い会話,"A student and a staff member are talking about phone battery issue. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,Ask a different office about an unrelated issue.,C,生徒と職員がPhone battery issueについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,別の窓口で関係のない問題について尋ねる。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,15,1,短い会話,"A student and a staff member are talking about cafe order mistake. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Ignore the advice and wait a week.,Cancel the plan without checking details.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,D,生徒と職員がCafe order mistakeについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,アドバイスを無視して1週間待つ。,詳細を確認せずに計画をキャンセルする。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,16,1,アナウンス,"A student and a staff member are talking about bike parking. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,Cancel the plan without checking details.,A,生徒と職員がBike parkingについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,詳細を確認せずに計画をキャンセルする。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,17,1,インタビュー,"A student and a staff member are talking about study routine. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Follow the staff member's suggestion right away.,Cancel the plan without checking details.,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,A,生徒と職員がStudy routineについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,職員の提案にすぐに従う。,詳細を確認せずに計画をキャンセルする。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,18,1,短い会話,"A student and a staff member are talking about movie start time. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,B,生徒と職員がMovie start timeについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,19,1,短い会話,"A student and a staff member are talking about homework deadline. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Follow the staff member's suggestion right away.,Ask a different office about an unrelated issue.,Ignore the advice and wait a week.,B,生徒と職員がHomework deadlineについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,職員の提案にすぐに従う。,別の窓口で関係のない問題について尋ねる。,アドバイスを無視して1週間待つ。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準2級プラス,20,1,説明文,"A student and a staff member are talking about community sports day. The student asks for help, and the staff member gives one clear suggestion. The main point is practical and connected to daily life.",What should the student do next?,Cancel the plan without checking details.,Ignore the advice and wait a week.,Ask a different office about an unrelated issue.,Follow the staff member's suggestion right away.,D,生徒と職員がCommunity sports dayについて話しています。生徒が助けを求め、職員が明確な提案をします。要点は日常に直結した実用情報です。,その生徒は次に何をするべきですか。,詳細を確認せずに計画をキャンセルする。,アドバイスを無視して1週間待つ。,別の窓口で関係のない問題について尋ねる。,職員の提案にすぐに従う。,"正答は、会話の最後で示された具体的な次の行動と一致するため。誤答は時期・目的・行動が会話内容とずれる。キーワードは suggestion, next, practical step。ひっかけは似た語の wait/check。準2級プラスでは日常場面で情報を即時処理する力が問われる。まずは最後の一文を必ず確認する。",9,8,9,8,8,8,9,8,日常場面に即した設問で実戦的
準1級,1,1,対話,"In a conversation about remote work policy, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it balances effectiveness with realistic constraints.,Because it is popular on social media.,Because it is the fastest idea regardless of risk.,Because it requires no coordination at all.,A,Remote work policyに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,効果と現実的な制約のバランスが取れているから。,SNSで人気があるから。,リスクに関係なく最も速いアイデアだから。,調整が一切不要だから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,2,1,説明,"In a conversation about city recycling plan, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it is the fastest idea regardless of risk.,Because it balances effectiveness with realistic constraints.,Because it requires no coordination at all.,Because it is popular on social media.,B,City recycling planに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,リスクに関係なく最も速いアイデアだから。,効果と現実的な制約のバランスが取れているから。,調整が一切不要だから。,SNSで人気があるから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,3,1,対話,"In a conversation about travel refund rules, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it requires no coordination at all.,Because it is the fastest idea regardless of risk.,Because it is popular on social media.,Because it balances effectiveness with realistic constraints.,D,Travel refund rulesに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,調整が一切不要だから。,リスクに関係なく最も速いアイデアだから。,SNSで人気があるから。,効果と現実的な制約のバランスが取れているから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,4,1,講義,"In a conversation about university lecture summary, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it is popular on social media.,Because it balances effectiveness with realistic constraints.,Because it requires no coordination at all.,Because it is the fastest idea regardless of risk.,B,University lecture summaryに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,SNSで人気があるから。,効果と現実的な制約のバランスが取れているから。,調整が一切不要だから。,リスクに関係なく最も速いアイデアだから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,5,1,対話,"In a conversation about small business marketing, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it is popular on social media.,Because it balances effectiveness with realistic constraints.,Because it is the fastest idea regardless of risk.,Because it requires no coordination at all.,B,Small business marketingに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,SNSで人気があるから。,効果と現実的な制約のバランスが取れているから。,リスクに関係なく最も速いアイデアだから。,調整が一切不要だから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,6,1,説明,"In a conversation about public health campaign, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it requires no coordination at all.,Because it is the fastest idea regardless of risk.,Because it is popular on social media.,Because it balances effectiveness with realistic constraints.,D,Public health campaignに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,調整が一切不要だから。,リスクに関係なく最も速いアイデアだから。,SNSで人気があるから。,効果と現実的な制約のバランスが取れているから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,7,1,アナウンス,"In a conversation about museum audio guide, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it balances effectiveness with realistic constraints.,Because it is the fastest idea regardless of risk.,Because it requires no coordination at all.,Because it is popular on social media.,A,Museum audio guideに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,効果と現実的な制約のバランスが取れているから。,リスクに関係なく最も速いアイデアだから。,調整が一切不要だから。,SNSで人気があるから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,8,1,対話,"In a conversation about career counseling, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it balances effectiveness with realistic constraints.,Because it is the fastest idea regardless of risk.,Because it is popular on social media.,Because it requires no coordination at all.,A,Career counselingに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,効果と現実的な制約のバランスが取れているから。,リスクに関係なく最も速いアイデアだから。,SNSで人気があるから。,調整が一切不要だから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,9,1,対話,"In a conversation about energy-saving apartment, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it is popular on social media.,Because it is the fastest idea regardless of risk.,Because it requires no coordination at all.,Because it balances effectiveness with realistic constraints.,D,Energy-saving apartmentに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,SNSで人気があるから。,リスクに関係なく最も速いアイデアだから。,調整が一切不要だから。,効果と現実的な制約のバランスが取れているから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
準1級,10,1,説明,"In a conversation about local farming project, the speakers compare two options, weighing cost, impact, and timing. They reject the first idea after noting a hidden drawback and settle on a feasible alternative.",Why do they choose the second option?,Because it is the fastest idea regardless of risk.,Because it balances effectiveness with realistic constraints.,Because it is popular on social media.,Because it requires no coordination at all.,B,Local farming projectに関する会話で、話者は費用・影響・時期の観点から2案を比較します。隠れた欠点が見つかり、実行可能な代替案を選びます。,彼らが2つ目の案を選ぶ理由は何ですか。,リスクに関係なく最も速いアイデアだから。,効果と現実的な制約のバランスが取れているから。,SNSで人気があるから。,調整が一切不要だから。,"正答は、費用・影響・時期の3要素を比較した結論と一致。誤答は speed/popularity/no coordination など本文で否定または言及なし。キーワードは drawback, feasible, balance。ひっかけは『速い＝良い』の短絡。準1級は複数条件の統合判断が難所。メモは比較軸ごとに取るとよい。",9,9,9,9,8,9,9,9,比較評価型で準1級らしい思考負荷
